plot_ID,SITE,line,genotype,location,lib_ID,BIOMASS,TC,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,Group,Population
B1521,BFL,SMT.1.G2,SMT1,TexMex,PD21-15,220.4,546,10.13,217.3819742,0.1456,0.0466,95.74468085,446,16,TexMex_BFL,HAL_II
B1522,BFL,SVN.3.G2,SVN3,West,PD9-30,107.19,217,10.21,237.4418605,0.1554,0.043,96.39794168,365,13,West_BFL,HAL_I
B1523,BFL,SAN.9.G1,SAN9,TexMex,PD21-16,100.59,418,6.6,266.1290323,0.0886,0.0248,87.39726027,382,9.5,TexMex_BFL,HAL_II
B1524,BFL,CRC.1.G1,CRC1,West,PD5-29,56.19,251,6.52,221.7687075,0.0867,0.0294,94.55445545,351,14,West_BFL,HAL_I
B1525,BFL,ALI.4.G1,ALI4,West,PD21-17,84.09,270,7.45,247.5083056,0.1192,0.0301,92.33160622,435,11,West_BFL,HAL_I
B1529,BFL,PCR.61.G1,PCR61,West,PD9-24,144.59,190,7.57,247.3856209,0.1044,0.0306,98.92761394,311,12.5,West_BFL,HAL_I
B1530,BFL,GNH.10.G2,GNH10,Sym,PD2-23,251.39,464,9.63,214.4766147,0.1194,0.0449,88.58501784,446,13,Sym_BFL,HAL_II
B1531,BFL,SLS.5.G3,SLS5,TexMex,PD21-20,463.9,678,3.48,214.8148148,0.044,0.0162,88.53503185,417,14,TexMex_BFL,HAL_II
B1532,BFL,BEL.3.G1,BEL3,CenTex,PD14-12,82.49,264,5.21,206.7460317,0.0752,0.0252,95.05703422,437,14.5,CenTex_BFL,HAL_I
B1533,BFL,BUR.8.G1,BUR8,Sym,PD5-22,349.3,422,10.13,197.0817121,0.1481,0.0514,88.87867647,260,16,Sym_BFL,HAL_II
B1534,BFL,ESE.2.G1,ESE2,CenTex,PD21-21,97.59,236,5.23,218.8284519,0.0759,0.0239,88.13559322,290,11,CenTex_BFL,HAL_I
B1535,BFL,ZAP.1.G1,ZAP1,Filipes,PD21-22,245.6,222,18.36,211.2773303,0.2707,0.0869,93.39430894,330,15,Coastal_BFL,FIL
B1536,BFL,KEN.3.G1,KEN3,TexMex,PD21-23,184.4,336,11.7,214.6788991,0.1833,0.0545,93.40101523,307,11.5,TexMex_BFL,HAL_II
B1538,BFL,PDS.1.G1,PDS1,West,PD21-25,69.09,188,4.89,201.2345679,0.0721,0.0243,95.02982107,582,16,West_BFL,HAL_I
B1539,BFL,JHC.3.G2,JHC3,TexMex,PD21-26,56.49,334,3.72,197.8723404,0.0533,0.0188,89.61038961,574,13.5,TexMex_BFL,HAL_II
B1541,BFL,COM.12.G2,COM12,TexMex,PD8-23,0.59,34,2.78,224.1935484,0.0406,0.0124,92.76315789,468,11,TexMex_BFL,HAL_II
B1601,BFL,GNF.1.G1,GNF1,Filipes,PD21-27,0.79,34,5.53,177.8135048,0.088,0.0311,87.13629403,667,9,Filipes_BFL,FIL
B1602,BFL,BOS.3.G1,BOS3,West,PD21-28,54.39,219,9.46,208.8300221,0.1297,0.0453,90.26737968,436,14.5,West_BFL,HAL_I
B1604,BFL,COR.18.G2,COR18,TexMex,PD21-29,4.39,52,5.67,248.6842105,0.0719,0.0228,84.94809689,539,12,TexMex_BFL,HAL_II
B1605,BFL,ATA.1.G1,ATA1,TexMex,PD21-30,28.99,194,4.96,244.3349754,0.0572,0.0203,92.25,589,11,TexMex_BFL,HAL_II
B1606,BFL,NOH.5.G2,NOH5,Filipes,PD25-7,33.09,272,6.14,217.7304965,0.0709,0.0282,81.48854962,614,9.5,Coastal_BFL,FIL
B1607,BFL,CCL.1.F,CCL1,West,PD25-8,7.79,76,4.25,204.3269231,0.062,0.0208,91.55555556,600,14,West_BFL,HAL_I
B1608,BFL,CKR.15.G3,CKR15,West,PD7-27,33.79,137,5.06,290.8045977,0.0613,0.0174,92.61603376,498,15,West_BFL,HAL_I
B1609,BFL,PAB.1.F,PAB1,Filipes,PD22-1,46.39,143,8.52,208.8235294,0.1397,0.0408,99.09819639,536,15.5,Coastal_BFL,FIL
B1610,BFL,TNK.2.F,TNK2,West,PD22-2,3.49,73,7.57,240.3174603,0.1065,0.0315,92.13759214,482,12.5,West_BFL,HAL_I
B1611,BFL,SEV.2.G1,SEV2,West,PD9-27,6.39,77,4.66,198.2978723,0.0702,0.0235,90.32882012,634,12,West_BFL,HAL_I
B1612,BFL,CAM.1.G1,CAM1,Filipes,PD14-13,283.4,213,10.7,203.8095238,0.1518,0.0525,96.68938656,465,15,Filipes_BFL,FIL
B1613,BFL,PDB.2.G2,PDB2,West,PD22-3,111.8,271,9.61,219.9084668,0.1338,0.0437,92.31557377,411,10,West_BFL,HAL_I
B1615,BFL,PIN.1.G2,PIN1,West,PD22-5,85.29,216,10.8,213.4387352,0.1713,0.0506,90.27673897,565,12.5,West_BFL,HAL_I
B1616,BFL,NDP.2.G3,NDP2,Filipes,PD22-6,210.4,442,8.25,184.9775785,0.1249,0.0446,89.12319645,604,9.5,Filipes_BFL,FIL
B1617,BFL,CKR.15.G3,CKR15,West,PD7-28,208.8,486,13.01,319.6560197,0.1927,0.0407,87.20596672,576,12.5,West_BFL,HAL_I
B1619,BFL,MCM.1.G1,MCM1,Filipes,PD22-7,271.2,476,10.36,222.7956989,0.1242,0.0465,79.61065574,671,12.5,Filipes_BFL,FIL
B1620,BFL,KEN.3.G1,KEN3,TexMex,PD22-8,100.7,423,NA,NA,NA,NA,NA,478,13,TexMex_BFL,HAL_II
B1622,BFL,SMF.BK.F,SMFBK,CenTex,PD22-9,82.79,428,6.6,214.2857143,0.0942,0.0308,86.2585034,606,9.5,CenTex_BFL,HAL_I
B1623,BFL,BUS.3.G1,BUS3,West,PD14-14,46.09,285,4.33,227.8947368,0.0539,0.019,80.41474654,415,10,West_BFL,HAL_I
B1624,BFL,PIS.2.G2,PIS2,Sym,PD22-10,199.8,592,5.13,219.2307692,0.0651,0.0234,88.16067653,471,10.5,Sym_BFL,HAL_II
B1626,BFL,CKR.15.G3,CKR15,West,PD7-29,153.19,341,9.32,218.7793427,0.1334,0.0426,88.84540117,519,11.5,West_BFL,HAL_I
B1627,BFL,NOH.5.G2,NOH5,Filipes,PD22-11,150.79,584,4.75,231.7073171,0.0561,0.0205,86.61800487,523,16,Coastal_BFL,FIL
B1628,BFL,NMX.1.G1,NMX1,West,PD22-12,114.79,126,18.03,204.4217687,0.2833,0.0882,92.55218216,393,18,West_BFL,HAL_I
B1629,BFL,HUE.19.G2,HUE19,Sym,PD22-13,194.39,541,7.66,224.6334311,0.0984,0.0341,91.85714286,472,15.5,Sym_BFL,HAL_II
B1631,BFL,ABI.1.G3,ABI1,CenTex,PD14-15,97.39,523,7.44,208.4033613,0.1031,0.0357,82.90282903,553,15.5,CenTex_BFL,HAL_I
B1632,BFL,SAP.6.G1,SAP6,TexMex,PD22-14,149.79,321,12.63,229.6363636,0.1799,0.055,90.31091829,578,15.5,TexMex_BFL,HAL_II
B1633,BFL,BUR.8.G1,BUR8,Sym,PD5-23,141.99,343,10.16,209.4845361,0.137,0.0485,85.67279768,560,17.5,Sym_BFL,HAL_II
B1634,BFL,CBS.6.G1,CBS6,CenTex,PD4-29,61.79,370,6.48,229.787234,0.0796,0.0282,91.45907473,492,16.5,CenTex_BFL,HAL_I
B1635,BFL,FIL.2A.G2,FIL2A,Filipes,PD22-15,433.8,383,26.85,169.1871456,0.4659,0.1587,88.96611642,420,18,Filipes_BFL,FIL
B1636,BFL,BBD.5.G1,BBD5,TexMex,PD22-16,1.29,40,2.51,236.7924528,0.0278,0.0106,80.75117371,525,15,TexMex_BFL,HAL_II
B1637,BFL,MKF.1.G1,MKF1,CenTex,PD22-17,18.79,136,4.1,262.8205128,0.054,0.0156,93.88753056,432,16,CenTex_BFL,HAL_I
B1638,BFL,WBW.16.G4,WBW16,Sym,PD22-18,58.69,218,4.8,220.1834862,0.0593,0.0218,85.81235698,531,15.5,Sym_BFL,HAL_II
B1639,BFL,GMO.5.G1,GMO5,West,PD8-24,3.69,49,6.15,237.4517375,0.0803,0.0259,90.96989967,593,13,West_BFL,HAL_I
B1640,BFL,FIL.2A.G2,FIL2A,Filipes,PD22-19,230.7,302,9.61,197.7366255,0.1383,0.0486,89.43170489,453,17,Filipes_BFL,FIL
